Starting llama-server: /data/data/com.termux/files/home/llama.cpp/build/bin/llama-server -m /data/data/com.termux/files/home/models/qwen3.5-4b-instruct/Qwen3.5-4B-Q4_K_M.gguf --host 127.0.0.1 --port 8080 -c 65536 -t 4 --temp 0.7 --top-p 0.8 --top-k 20 --repeat-penalty 1.1 --n-predict 2048 --flash-attn on --embedding --pooling mean --jinja --reasoning-format deepseek --reverse-prompt <|im_end|> --reverse-prompt <|im_start|> --reverse-prompt 
User: --reverse-prompt 
Human: --reverse-prompt 
A: --mmap
0.00.001.463 E ggml_opencl: platform IDs not available.
0.00.003.802 W DEPRECATED: argument '--reverse-prompt' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.003.888 W DEPRECATED: argument '--reverse-prompt' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.003.890 W DEPRECATED: argument '--reverse-prompt' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.003.890 W DEPRECATED: argument '--reverse-prompt' specified multiple times, use comma-separated values instead (only last value will be used)
0.00.004.105 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.004.147 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.004.153 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.004.649 W srv  llama_server: -----------------
0.00.004.668 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.004.669 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.004.670 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.004.671 W srv  llama_server: -----------------
0.00.006.107 I srv    load_model: loading model '/data/data/com.termux/files/home/models/qwen3.5-4b-instruct/Qwen3.5-4B-Q4_K_M.gguf'
0.04.292.288 W llama_init_from_model: model default pooling_type is [-1], but [1] was specified
0.06.561.863 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 65536, kv_unified = 'true'
0.06.602.680 I srv  llama_server: model loaded
0.06.602.716 I srv  llama_server: listening on http://127.0.0.1:8080
0.07.994.029 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
0.07.994.453 I slot launch_slot_: id  3 | task 0 | processing task, is_child = 0
0.22.870.747 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =    512, progress = 0.12, t =  14.88 s / 34.42 tokens per second
0.38.282.896 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1024, progress = 0.25, t =  30.29 s / 33.81 tokens per second
0.56.291.205 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   1536, progress = 0.37, t =  48.30 s / 31.80 tokens per second
1.14.964.805 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2048, progress = 0.49, t =  66.97 s / 30.58 tokens per second
1.37.213.882 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   2560, progress = 0.62, t =  89.22 s / 28.69 tokens per second
1.56.952.292 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3072, progress = 0.74, t = 108.96 s / 28.19 tokens per second
2.18.251.668 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3584, progress = 0.86, t = 130.26 s / 27.51 tokens per second
2.20.735.901 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   3637, progress = 0.88, t = 132.74 s / 27.40 tokens per second
2.43.352.854 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4132, progress = 1.00, t = 155.36 s / 26.60 tokens per second
2.44.055.636 I slot print_timing: id  3 | task 0 | prompt processing, n_tokens =   4145, progress = 1.00, t = 156.06 s / 26.56 tokens per second
2.58.076.499 I slot print_timing: id  3 | task 0 | n_decoded =    100, tg =   7.34 t/s, tg_3s =   7.34 t/s
3.01.157.774 I slot print_timing: id  3 | task 0 | n_decoded =    122, tg =   7.31 t/s, tg_3s =   7.14 t/s
3.04.248.823 I slot print_timing: id  3 | task 0 | n_decoded =    144, tg =   7.28 t/s, tg_3s =   7.12 t/s
3.07.383.009 I slot print_timing: id  3 | task 0 | n_decoded =    167, tg =   7.28 t/s, tg_3s =   7.34 t/s
3.10.411.724 I slot print_timing: id  3 | task 0 | n_decoded =    189, tg =   7.28 t/s, tg_3s =   7.26 t/s
